June 5, 2018 Consolidated Statewide Direct Primary Election

Report generated on: Monday, June 18, 2018 at 04:27:41 PM


*** Governor - CALIFORNIA (100)
Precinct Totals
PrecinctName	ReportingType	PrecinctID	Precincts	Registration	Ballots Cast	Turnout (%)	JOSH JONES	J. BRIBIESCA	GLORIA ESTELA LA RIVA	PETER Y LIU	ANTONIO VILLARAIGOSA	YVONNE GIRARD	ROBERT DAVIDSON GRIFFIS	SHUBHAM GOEL	TRAVIS ALLEN	AKINYEMI AGBEDE	JOHNNY WATTENBURG	NICKOLAS WILDSTAR	DESMOND SILVEIRA	MICHAEL SHELLENBERGER	ZOLTAN ISTVAN	CHRISTOPHER N. CARLSON	THOMAS JEFFERSON CARES	JOHN CHIANG	JOHN H. COX	AMANDA RENTERIA	DELAINE EASTIN	JEFFREY EDWARD TAYLOR	KLEMENT TINAJ	HAKAN ''HAWK'' MIKADO	ALBERT CAESAR MEZZETTI	GAVIN NEWSOM	ROBERT C. NEWMAN, II	WRITE-IN	WRITE-IN K. PEARCE	WRITE-IN VERONIKA FIMBRES	WRITE-IN ARMANDO M. ARREOLA	WRITE-IN ARMAN SOLTANI	WRITE-IN PETER CRAWFORD VALENTINO	Under Vote	Over Vote
Pct 1107	Election Day	1107	1	721	101	14.01	1	0	0	0	6	0	0	0	3	0	0	0	0	1	0	0	0	9	5	1	8	0	0	0	1	62	0	0	0	0	0	0	0	3	1
Pct 1107	VBM	1107	1	721	240	33.29	1	1	2	0	15	0	1	0	11	0	0	0	0	0	0	0	0	27	15	2	12	0	0	0	1	135	1	1	0	0	0	0	0	7	8
Pct 1108	Election Day	1108	1	882	156	17.69	1	0	0	2	11	0	0	0	2	0	0	1	0	1	1	0	0	16	2	2	19	0	0	0	0	90	1	0	0	0	0	0	0	7	0
Pct 1108	VBM	1108	1	882	328	37.19	1	0	0	2	29	0	0	0	10	0	0	1	1	0	2	0	0	38	14	2	26	0	0	0	1	191	0	0	0	0	0	0	0	4	6
Pct 1109	Election Day	1109	1	758	124	16.36	0	0	3	1	9	0	0	0	1	0	0	0	0	1	0	0	0	9	9	2	14	0	0	0	0	69	0	0	0	0	0	0	0	2	4
Pct 1109	VBM	1109	1	758	265	34.96	3	1	0	6	9	0	0	0	18	0	0	0	0	2	0	0	0	35	21	1	18	1	0	2	0	132	1	1	0	0	0	0	0	9	5
Pct 1111	Election Day	1111	1	938	132	14.07	0	0	2	0	16	0	0	0	4	0	0	0	0	0	0	0	0	9	3	1	21	0	0	0	0	68	0	0	0	0	0	0	0	7	1
Pct 1111	VBM	1111	1	938	330	35.18	1	0	1	6	15	2	0	0	18	0	0	0	0	1	0	0	0	41	23	5	25	0	0	0	0	166	1	1	0	0	0	0	0	17	7
Pct 1112	Election Day	1112	1	702	96	13.68	0	0	1	0	14	0	0	0	2	1	0	0	0	0	0	0	0	13	1	1	8	0	0	0	0	46	0	0	0	0	0	0	0	1	8
Pct 1112	VBM	1112	1	702	221	31.48	0	0	0	4	11	0	0	0	6	0	0	0	0	1	0	0	0	35	15	6	14	0	1	0	0	110	0	1	0	0	0	0	0	8	9
Pct 1113	Election Day	1113	1	701	82	11.70	0	0	1	0	6	0	0	0	4	0	0	1	0	1	0	0	0	8	5	1	13	1	0	0	0	40	0	0	0	0	0	0	0	0	1
Pct 1113	VBM	1113	1	701	272	38.80	0	0	5	2	23	0	0	0	17	0	0	0	0	1	0	0	1	48	23	2	25	1	0	2	1	108	1	0	0	0	0	0	0	3	9
Pct 1114	Election Day	1114	1	915	139	15.19	0	0	1	1	15	0	1	0	0	0	0	0	0	0	0	2	0	16	12	1	17	0	0	0	0	63	0	0	0	0	0	0	0	3	7
Pct 1114	VBM	1114	1	915	280	30.60	1	2	0	1	30	0	0	0	9	0	0	0	0	1	0	0	0	33	28	5	32	0	0	0	0	117	0	0	0	0	0	0	0	9	12
Pct 1115	Election Day	1115	1	835	97	11.62	0	0	0	0	8	0	0	0	4	0	0	0	0	0	0	1	0	13	3	3	10	0	0	0	1	52	1	0	0	0	0	0	0	1	0
Pct 1115	VBM	1115	1	835	279	33.41	0	1	1	3	19	0	1	0	18	0	0	2	0	1	1	0	2	43	18	3	17	0	0	1	0	127	0	0	0	0	0	0	0	12	9
Pct 1116	Election Day	1116	1	842	141	16.75	0	0	1	0	12	0	0	0	1	1	1	0	0	0	1	0	0	8	3	3	16	0	0	0	2	84	1	0	0	0	0	0	0	4	3
Pct 1116	VBM	1116	1	842	275	32.66	0	0	0	0	23	0	0	0	15	1	0	1	0	0	0	0	0	34	20	4	22	0	0	0	1	133	0	0	0	0	0	0	0	8	13
Pct 1117	Election Day	1117	1	827	138	16.69	1	0	0	0	16	0	0	0	0	0	0	1	0	0	0	0	3	10	7	4	11	0	0	0	0	79	0	0	0	0	0	0	0	4	2
Pct 1117	VBM	1117	1	827	240	29.02	0	1	0	2	24	0	0	0	18	0	0	0	0	1	0	0	0	26	10	4	20	0	0	1	0	117	2	1	0	0	0	0	0	5	8
Pct 1118	Election Day	1118	1	974	158	16.22	2	1	2	2	23	0	0	0	3	0	0	0	0	1	0	2	2	16	4	2	20	0	0	0	0	72	0	0	0	0	0	0	0	4	2
Pct 1118	VBM	1118	1	974	335	34.39	0	0	0	0	33	1	0	0	17	0	0	0	0	0	0	2	0	26	21	1	25	0	0	1	0	178	0	0	0	0	0	0	0	11	19
Pct 1119	Election Day	1119	1	745	97	13.02	0	0	0	0	13	0	0	0	1	0	0	1	0	0	0	0	0	3	4	1	10	0	0	0	0	59	0	0	0	0	0	0	0	2	3
Pct 1119	VBM	1119	1	745	274	36.78	0	0	1	0	36	2	0	0	14	0	0	0	0	2	0	0	0	17	21	6	19	0	0	0	1	143	0	0	0	0	0	0	0	6	6
Pct 1121	Election Day	1121	1	653	104	15.93	1	0	0	1	7	0	0	0	3	2	0	0	0	1	0	0	1	12	12	1	10	0	0	0	1	46	0	0	0	0	0	0	0	3	3
Pct 1121	VBM	1121	1	653	221	33.84	1	0	3	0	7	0	1	0	9	0	0	0	0	0	0	0	0	33	21	6	15	0	0	0	1	110	1	0	0	0	0	0	0	9	4
Pct 1122	Election Day	1122	1	607	69	11.37	0	0	0	1	5	0	0	0	2	1	0	0	0	2	0	0	0	4	5	1	4	0	0	0	0	40	2	0	0	0	0	0	0	1	1
Pct 1122	VBM	1122	1	607	213	35.09	0	0	0	7	13	0	0	1	13	0	0	0	0	0	1	0	0	40	15	1	13	0	0	0	0	89	5	0	0	0	0	0	0	8	7
Pct 1123	Election Day	1123	1	876	118	13.47	1	0	0	1	10	0	0	0	3	2	0	0	0	0	1	0	1	4	4	1	13	0	1	0	0	73	0	0	0	0	0	0	0	0	3
Pct 1123	VBM	1123	1	876	254	29.00	0	0	1	2	25	0	0	0	20	0	0	0	0	1	0	0	0	24	14	6	15	0	0	0	1	126	1	1	0	0	0	0	0	6	11
Pct 1124	Election Day	1124	1	773	109	14.10	0	1	1	0	16	0	0	0	4	0	0	0	0	0	0	0	1	8	3	0	7	0	0	0	1	57	1	1	0	0	0	0	0	5	3
Pct 1124	VBM	1124	1	773	200	25.87	0	0	1	1	27	0	0	0	12	1	0	0	0	2	0	1	0	24	6	1	7	0	0	1	0	99	1	0	0	0	0	0	0	4	12
Pct 1125	Election Day	1125	1	987	80	8.11	0	1	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	4	3	1	11	0	0	0	1	45	0	0	0	0	0	0	0	2	0
Pct 1125	VBM	1125	1	987	329	33.33	0	0	0	1	29	1	1	0	24	0	0	0	0	2	0	0	0	41	28	3	9	0	1	0	0	164	1	0	0	0	0	0	0	11	13
Pct 1126	Election Day	1126	1	900	92	10.22	0	0	2	0	14	0	0	0	0	1	0	1	0	0	0	0	0	5	2	2	9	0	0	0	0	50	1	0	0	0	0	0	0	2	3
Pct 1126	VBM	1126	1	900	292	32.44	1	0	0	2	27	0	1	0	10	0	1	0	1	0	0	1	0	33	17	4	11	0	0	1	0	161	3	2	0	0	0	0	0	4	12
Pct 1127	Election Day	1127	1	875	141	16.11	0	0	2	1	11	0	2	0	1	0	0	0	0	0	0	0	0	11	13	2	16	0	0	1	1	72	1	1	0	0	0	0	0	4	2
Pct 1127	VBM	1127	1	875	277	31.66	1	0	4	4	12	0	0	0	14	0	0	0	0	0	0	0	0	26	34	5	16	0	1	0	0	139	2	0	0	0	0	0	0	9	10
Pct 1128	Election Day	1128	1	813	104	12.79	1	0	1	0	11	0	0	0	6	0	0	0	1	0	0	0	0	7	9	1	6	1	0	0	0	54	0	0	0	0	0	0	0	2	4
Pct 1128	VBM	1128	1	813	246	30.26	0	0	0	0	23	0	2	0	14	2	1	1	1	1	1	0	0	25	29	2	8	1	0	0	2	112	3	0	0	0	0	0	0	4	14
Pct 1129	Election Day	1129	1	924	120	12.99	2	0	0	0	18	0	1	0	1	0	0	1	0	0	1	0	0	8	11	0	8	0	2	1	1	58	2	0	0	0	0	0	0	2	3
Pct 1129	VBM	1129	1	924	274	29.65	0	0	0	1	26	0	2	0	20	0	0	0	0	0	0	0	0	38	17	5	18	1	0	0	1	126	3	1	0	0	0	0	0	2	13
Pct 1131	Election Day	1131	1	783	85	10.86	1	0	1	0	16	0	1	0	1	0	0	0	0	0	0	0	0	10	11	0	4	0	0	0	0	38	0	0	0	0	0	0	0	1	1
Pct 1131	VBM	1131	1	783	288	36.78	0	0	0	5	22	0	0	0	14	0	0	0	0	1	0	0	0	46	23	5	11	2	0	0	0	135	2	1	0	0	0	0	0	5	16
Pct 1132	Election Day	1132	1	910	112	12.31	1	1	3	2	8	0	0	0	1	0	0	0	0	1	0	0	0	9	6	2	13	1	0	0	0	60	0	0	0	0	0	0	0	3	1
Pct 1132	VBM	1132	1	910	324	35.60	0	0	2	2	25	0	1	0	18	0	0	0	0	1	0	1	0	40	38	1	15	1	0	0	0	141	3	0	0	0	0	0	0	18	17
Pct 1133	Election Day	1133	1	826	99	11.99	0	0	3	0	11	0	0	0	2	0	0	0	0	0	0	0	0	10	8	0	7	0	0	1	0	52	0	0	0	0	0	0	0	3	2
Pct 1133	VBM	1133	1	826	292	35.35	0	0	1	2	24	1	1	0	6	0	0	0	1	0	0	0	0	29	24	3	26	0	0	0	0	156	0	1	0	0	0	0	0	8	9
Pct 1134	Election Day	1134	1	727	126	17.33	0	0	4	0	19	0	0	0	1	0	0	0	0	0	1	0	2	9	3	4	13	1	0	0	0	66	0	0	0	0	0	0	0	1	2
Pct 1134	VBM	1134	1	727	241	33.15	0	0	0	3	15	0	0	0	9	0	0	0	0	0	0	0	0	26	24	2	15	0	0	0	1	136	1	0	0	0	0	0	0	7	2
Pct 1135	Election Day	1135	1	511	71	13.89	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	5	3	1	3	0	0	0	0	46	0	0	0	0	0	0	0	3	0
Pct 1135	VBM	1135	1	511	217	42.47	1	1	0	0	14	1	0	0	6	0	0	1	0	1	0	0	0	31	17	3	20	0	0	0	0	103	0	0	0	0	0	0	0	9	9
Pct 1136	Election Day	1136	1	807	97	12.02	1	1	0	0	6	0	0	0	6	0	0	0	0	1	0	0	0	9	5	1	11	0	0	0	0	46	2	1	0	0	0	0	0	4	3
Pct 1136	VBM	1136	1	807	287	35.56	0	0	1	1	20	0	1	0	15	0	0	1	1	0	2	0	0	17	28	4	15	1	0	0	2	161	2	0	0	0	0	0	0	4	11
Pct 1141	Election Day	1141	1	998	149	14.93	0	0	1	0	15	0	0	0	5	0	0	0	0	0	1	0	1	13	12	3	20	1	0	0	0	75	0	0	0	0	0	0	0	2	0
Pct 1141	VBM	1141	1	998	368	36.87	0	0	1	0	40	0	0	0	12	0	0	0	0	0	0	0	4	44	24	7	42	0	0	0	0	174	0	0	0	0	0	0	0	5	15
Pct 1142	Election Day	1142	1	822	120	14.60	0	0	1	1	13	0	0	0	2	0	0	0	0	0	0	0	3	10	10	2	9	0	0	0	0	64	1	0	0	0	0	0	0	1	3
Pct 1142	VBM	1142	1	822	266	32.36	0	0	1	1	29	1	0	0	8	0	0	0	0	1	0	0	1	41	22	1	31	1	0	0	0	118	0	0	0	0	0	0	0	3	7
Pct 1143	Election Day	1143	1	989	147	14.86	1	1	3	1	28	0	0	0	1	0	0	0	0	0	0	1	1	13	3	6	23	0	0	0	0	61	1	0	0	0	0	0	0	3	0
Pct 1143	VBM	1143	1	989	311	31.45	1	0	3	2	37	0	0	0	15	0	0	0	0	0	0	0	3	28	25	7	35	0	0	0	2	130	5	0	0	0	0	0	0	5	13
Pct 1144	Election Day	1144	1	870	148	17.01	0	0	1	0	15	1	0	0	2	0	0	0	0	0	0	1	1	6	13	2	17	0	0	0	1	84	0	0	0	0	0	0	0	1	3
Pct 1144	VBM	1144	1	870	264	30.34	0	0	1	0	20	0	0	0	18	0	0	0	0	0	0	1	0	28	29	3	30	0	0	0	0	114	0	0	0	0	0	0	0	8	12
Pct 1145	Election Day	1145	1	879	136	15.47	1	1	0	0	10	1	0	0	2	0	0	0	0	0	0	0	1	10	8	1	25	0	1	0	1	67	1	0	0	0	0	0	0	5	1
Pct 1145	VBM	1145	1	879	370	42.09	0	0	2	0	32	0	0	0	6	0	0	0	0	0	0	0	0	47	27	5	40	0	0	0	1	197	0	0	0	0	0	0	0	5	8
Pct 1146	Election Day	1146	1	971	124	12.77	0	1	1	0	13	0	0	1	1	1	0	0	0	0	0	1	1	9	7	1	29	0	0	0	0	53	1	0	0	0	0	0	0	2	2
Pct 1146	VBM	1146	1	971	326	33.57	0	0	1	0	26	0	0	0	9	0	0	0	0	0	0	0	0	54	19	1	31	0	0	0	0	161	0	0	0	0	0	0	0	9	15
Pct 1147	Election Day	1147	1	853	166	19.46	2	0	1	0	26	0	0	0	8	0	0	0	0	0	0	0	0	10	5	1	25	0	1	0	0	79	1	0	0	0	0	0	0	7	0
Pct 1147	VBM	1147	1	853	279	32.71	1	0	1	0	18	0	1	0	9	0	0	0	0	1	0	1	1	50	15	3	32	1	0	0	0	122	2	0	0	0	0	0	0	6	15
Pct 1148	Election Day	1148	1	918	121	13.18	2	1	1	1	18	0	0	0	3	1	0	0	0	1	0	0	0	14	16	2	10	0	0	0	0	45	0	0	0	0	0	0	0	2	4
Pct 1148	VBM	1148	1	918	314	34.20	3	0	0	0	21	0	0	0	21	0	0	1	0	1	0	0	3	62	19	6	20	0	0	2	0	137	2	0	0	0	0	0	0	3	13
Pct 1149	Election Day	1149	1	873	148	16.95	1	0	5	0	27	0	0	0	4	0	0	0	0	1	0	2	1	7	10	3	12	0	0	0	1	69	0	0	0	0	0	0	0	3	2
Pct 1149	VBM	1149	1	873	285	32.65	2	0	3	0	28	1	0	0	19	0	0	0	0	0	1	0	0	35	13	0	24	4	0	0	0	134	0	0	0	0	0	0	0	7	14
Pct 1151 MB	Election Day	1151	1	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pct 1151 MB	VBM	1151	1	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pct 1152	Election Day	1152	1	838	125	14.92	0	0	2	0	15	0	0	0	4	0	0	0	0	0	0	0	1	6	14	1	17	1	0	0	0	57	1	1	0	0	0	0	0	3	2
Pct 1152	VBM	1152	1	838	286	34.13	0	0	4	1	27	0	1	0	7	0	0	0	0	1	0	0	2	43	24	2	20	0	1	0	0	134	2	0	0	0	0	0	0	4	13
Pct 1153	Election Day	1153	1	909	139	15.29	1	0	0	0	11	0	1	0	13	0	0	0	0	1	0	0	1	17	11	0	9	0	0	0	0	64	0	0	0	0	0	0	0	4	6
Pct 1153	VBM	1153	1	909	306	33.66	0	0	0	0	29	0	0	0	17	1	0	0	0	0	0	0	0	47	21	2	18	0	0	0	0	155	0	0	0	0	0	0	0	4	12
Pct 1154 MB	Election Day	1154	1	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pct 1154 MB	VBM	1154	1	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pct 7001	Election Day	7001	1	735	119	16.19	0	0	0	0	12	0	0	0	0	0	0	0	1	1	0	0	0	9	0	5	19	0	0	0	1	71	0	0	0	0	0	0	0	0	0
Pct 7001	VBM	7001	1	735	266	36.19	3	0	1	0	31	0	0	0	0	0	0	0	0	0	0	1	0	22	8	3	37	0	0	0	0	157	0	0	0	0	0	0	0	3	0
Pct 7002	Election Day	7002	1	641	132	20.59	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	6	2	1	23	0	0	0	0	89	1	0	0	0	0	0	0	1	0
Pct 7002	VBM	7002	1	641	173	26.99	0	2	1	0	13	0	0	0	1	0	0	1	0	1	1	1	1	13	15	2	29	0	0	0	0	89	0	0	0	0	0	0	0	2	1
Pct 7003	Election Day	7003	1	864	188	21.76	0	0	1	0	17	0	0	0	0	0	0	0	0	0	0	1	0	11	8	2	34	0	0	2	1	109	0	0	0	0	0	0	0	1	1
Pct 7003	VBM	7003	1	864	340	39.35	3	0	0	0	40	0	0	0	6	0	0	0	0	4	0	1	0	23	16	3	45	0	0	0	0	190	0	0	0	0	0	0	0	5	4
Pct 7004	Election Day	7004	1	835	175	20.96	1	0	0	0	12	0	0	0	4	1	0	0	0	1	1	1	2	19	5	1	19	0	0	0	0	107	1	0	0	0	0	0	0	0	0
Pct 7004	VBM	7004	1	835	306	36.65	0	1	0	0	27	1	0	0	5	0	0	0	0	0	1	0	0	19	18	1	44	0	0	0	0	182	1	0	0	0	0	0	0	6	0
Pct 7005	Election Day	7005	1	812	180	22.17	1	0	0	0	18	0	0	0	0	0	0	0	0	0	1	1	0	11	3	2	37	0	0	0	0	101	0	0	0	0	0	0	0	5	0
Pct 7005	VBM	7005	1	812	295	36.33	1	1	0	0	34	0	0	0	1	0	1	0	0	0	1	0	0	25	7	2	45	0	0	0	0	172	0	2	0	0	0	0	0	1	2
Pct 7006	Election Day	7006	1	884	213	24.10	1	0	1	0	25	0	0	0	1	0	0	0	0	1	0	0	3	8	5	5	62	0	0	0	0	94	0	0	0	0	0	0	0	5	2
Pct 7006	VBM	7006	1	884	290	32.81	3	1	1	0	44	1	1	0	3	0	0	0	0	1	2	0	0	25	10	4	47	0	0	0	0	138	0	0	0	0	0	0	0	6	3
Pct 7007	Election Day	7007	1	916	233	25.44	1	0	0	0	18	0	0	0	2	0	0	1	0	1	1	2	0	13	3	3	25	0	0	0	1	158	0	0	0	0	0	0	0	4	0
Pct 7007	VBM	7007	1	916	323	35.26	1	0	0	0	39	0	0	0	0	0	0	0	0	0	1	0	0	19	9	3	41	0	0	0	0	203	1	0	0	0	0	0	0	6	0
Pct 7008	Election Day	7008	1	861	187	21.72	0	0	0	0	28	0	0	0	4	0	0	1	0	0	0	0	0	10	7	2	22	0	0	0	0	107	0	0	0	0	0	0	0	5	1
Pct 7008	VBM	7008	1	861	345	40.07	1	0	1	0	25	1	1	0	2	0	0	1	0	1	0	0	0	19	14	5	31	0	0	1	1	226	0	1	0	0	0	0	0	10	4
Pct 7009	Election Day	7009	1	864	133	15.39	0	0	1	0	11	0	0	0	1	0	0	0	0	0	0	0	1	9	9	0	24	0	1	0	0	73	1	0	0	0	0	0	0	2	0
Pct 7009	VBM	7009	1	864	312	36.11	0	0	0	3	31	0	0	0	2	1	0	1	0	0	0	2	2	27	15	3	43	0	0	0	0	173	0	0	0	0	0	0	0	8	1
Pct 7011	Election Day	7011	1	976	141	14.45	1	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	5	4	2	14	1	0	0	0	82	0	0	0	0	0	0	0	9	2
Pct 7011	VBM	7011	1	976	205	21.00	1	2	0	0	21	0	0	0	1	1	0	2	0	0	1	1	2	12	6	1	25	0	0	0	0	122	0	0	0	0	0	0	0	3	4
Pct 7012	Election Day	7012	1	1061	224	21.11	1	0	0	0	17	0	0	0	6	1	0	0	0	1	0	0	0	11	19	3	30	0	0	0	0	131	0	0	0	0	0	0	0	4	0
Pct 7012	VBM	7012	1	1061	383	36.10	3	0	1	1	36	0	0	0	5	0	0	0	0	3	0	0	1	31	14	4	39	1	0	1	0	227	1	0	0	0	0	0	0	11	4
Pct 7013	Election Day	7013	1	805	132	16.40	0	0	0	0	11	0	0	0	2	1	0	0	0	0	0	1	3	9	5	2	23	0	0	0	0	73	0	0	0	0	0	0	0	1	1
Pct 7013	VBM	7013	1	805	251	31.18	0	0	0	0	34	0	0	0	4	0	0	1	0	0	1	2	1	17	9	1	36	0	0	0	0	140	1	0	0	0	0	0	0	4	0
Pct 7014	Election Day	7014	1	1213	188	15.50	0	0	0	0	32	0	0	0	1	0	0	0	0	0	4	0	1	10	4	2	24	0	0	0	0	106	0	1	0	0	0	0	0	2	1
Pct 7014	VBM	7014	1	1213	434	35.78	0	0	0	0	34	1	0	0	4	0	0	0	0	2	1	0	0	41	13	9	53	1	0	0	0	262	0	1	0	0	0	0	0	11	1
Pct 7015 MB	Election Day	7015	1	93	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pct 7015 MB	VBM	7015	1	93	34	36.56	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	3	0	0	0	0	20	0	0	0	0	0	0	0	0	0
Pct 7016	Election Day	7016	1	891	112	12.57	1	0	2	1	19	0	1	0	3	0	0	0	0	0	0	0	1	8	1	2	6	0	1	0	1	48	0	0	0	0	0	0	0	12	5
Pct 7016	VBM	7016	1	891	221	24.80	0	0	0	1	25	0	0	0	8	0	0	0	0	0	0	0	2	32	6	3	8	0	0	0	0	103	1	0	0	0	0	0	0	12	20
Pct 7017	Election Day	7017	1	734	79	10.76	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	2	0	0	0	1	50	1	0	0	0	0	0	0	4	8
Pct 7017	VBM	7017	1	734	167	22.75	0	0	2	0	13	0	0	0	3	0	0	0	0	0	0	0	0	16	3	1	6	1	0	0	0	113	0	0	0	0	0	0	0	3	6
Pct 7018	Election Day	7018	1	908	88	9.69	0	0	1	0	12	0	0	0	1	0	0	0	0	0	0	0	0	9	3	0	11	0	0	0	0	47	1	0	0	0	0	0	0	1	2
Pct 7018	VBM	7018	1	908	343	37.78	0	0	1	0	17	0	0	0	22	0	0	0	0	0	0	0	1	76	16	3	8	0	0	0	1	164	0	0	0	0	0	0	0	10	24
Pct 7019	Election Day	7019	1	864	111	12.85	0	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	1	4	3	1	9	0	0	0	2	77	0	0	0	0	0	0	0	2	0
Pct 7019	VBM	7019	1	864	349	40.39	3	0	1	1	24	0	0	0	18	0	0	0	0	0	1	0	2	49	17	1	17	0	2	0	0	196	0	1	0	0	0	0	0	4	12
Pct 7021	Election Day	7021	1	927	129	13.92	0	0	1	0	14	0	0	0	0	0	0	0	0	0	1	0	3	5	4	1	15	0	0	0	2	76	1	0	0	0	0	0	0	4	2
Pct 7021	VBM	7021	1	927	220	23.73	0	0	1	0	25	0	0	0	6	1	0	1	0	0	0	1	1	20	10	2	19	0	0	0	0	117	1	0	0	0	0	0	0	10	5
Pct 7022	Election Day	7022	1	923	164	17.77	1	2	1	0	19	1	0	0	0	0	0	0	0	0	1	0	2	7	5	1	12	0	0	0	1	104	0	0	0	0	0	0	0	2	5
Pct 7022	VBM	7022	1	923	270	29.25	0	0	1	2	33	0	0	0	5	0	0	0	0	0	1	0	4	25	10	0	24	0	1	0	1	137	0	0	0	0	0	0	0	6	20
Pct 7023	Election Day	7023	1	906	131	14.46	0	0	0	0	10	0	0	0	3	0	0	0	0	0	0	1	3	7	2	0	12	1	0	0	0	84	0	0	0	0	0	0	0	2	6
Pct 7023	VBM	7023	1	906	301	33.22	1	1	2	0	17	3	0	0	7	0	0	1	0	0	0	0	2	30	8	4	21	0	1	0	0	183	0	1	0	0	0	0	0	9	10
Pct 7024	Election Day	7024	1	386	30	7.77	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	21	0	0	0	0	0	0	0	2	3
Pct 7024	VBM	7024	1	386	47	12.18	0	1	1	1	2	0	0	0	1	0	0	0	0	0	0	0	2	6	1	0	0	0	0	0	0	28	1	0	0	0	0	0	0	0	3
